,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
107,Nathan,MacKinnon,C,2022-23,27,COL,NHL,71,42,69,111,29,30,30,12,0,9,47,22,0,366,11.5,629,1585,22:19,519,649,44.4,40,53,43,47,"AS-3,Byng-39,Hart-5",4,4,' placed on IR with upper body injury'
108,Torey,Krug,D,2022-23,31,STL,NHL,63,7,25,32,-26,49,3,4,0,1,15,10,0,126,5.6,251,1171,18:35,0,0,,87,40,19,30,,28,28,' placed on IR with lower body injury'
109,Tyler,Motte,C,2022-23,27,TOT,NHL,62,8,11,19,3,6,7,0,1,1,11,0,0,109,7.3,184,780,12:34,21,30,41.2,60,118,29,27,,32,32,' placed on IR with fractured finger'
110,Marcus,Foligno,LW,2022-23,31,MIN,NHL,65,7,14,21,-6,97,7,0,0,0,11,3,0,83,8.4,153,974,14:59,7,7,50.0,40,237,27,25,,"4, 5",9,"' placed on IR with lower body injury / upper body injury', ' placed on IR with lower body injury'"
111,John,Marino,D,2022-23,25,NJD,NHL,64,4,14,18,21,20,4,0,0,0,13,0,1,67,6.0,145,1349,21:04,0,0,,81,44,43,38,,40,40,' placed on IR with upper body injury'
112,Ryan,Graves,D,2022-23,27,NJD,NHL,78,8,18,26,34,28,8,0,0,2,16,0,2,141,5.7,290,1556,19:57,0,0,,152,83,23,47,,2,2,' placed on IR with lower body injury'
113,Josh,Archibald,RW,2022-23,30,PIT,NHL,62,6,6,12,6,43,6,0,0,0,6,0,0,71,8.5,112,619,9:59,1,3,25.0,28,195,14,5,,41,41,' placed on IR with lower body injury'
114,Ryan,Poehling,C,2022-23,24,PIT,NHL,53,7,7,14,-2,8,5,0,2,0,6,0,1,64,10.9,110,624,11:46,186,225,45.3,41,57,29,4,,"2, 11, 9",22,"' placed on IR with upper body injury', ' placed on IR with upper body injury', ' placed on IR with upper body injury'"
115,Erik,Brannstrom,D,2022-23,23,OTT,NHL,74,2,16,18,5,38,2,0,0,0,15,1,0,74,2.7,200,1192,16:07,0,0,,103,49,28,48,,1,1,' placed on IR with lower body injury'
116,Nikita,Zaitsev,D,2022-23,31,TOT,NHL,46,1,7,8,-9,20,1,0,0,0,7,0,0,20,5.0,50,757,16:28,0,0,,72,95,7,23,,25,25,' placed on IR with lower body injury'
117,Oliver,Wahlstrom,RW,2022-23,22,NYI,NHL,35,7,9,16,5,32,6,1,0,1,9,0,0,70,10.0,140,426,12:10,7,13,35.0,15,50,12,11,,165,165,' placed on IR with head injury (out for season)'
118,Simon,Holmstrom,RW,2022-23,21,NYI,NHL,50,6,3,9,-4,0,6,0,0,2,3,0,0,39,15.4,77,555,11:06,0,3,0.0,22,9,21,13,,11,11,' placed on IR with knee injury'
119,Vladimir,Tarasenko,RW,2022-23,31,TOT,NHL,69,18,32,50,-14,8,14,3,1,1,21,11,0,169,10.7,303,1159,16:48,0,2,0.0,36,75,24,26,,22,22,' placed on IR with hand injury'
120,Kaiden,Guhle,D,2022-23,21,MTL,NHL,44,4,14,18,-19,27,4,0,0,0,14,0,0,48,8.3,107,903,20:31,0,0,,77,84,23,51,,56,56,' placed on IR with lower body injury'
121,MacKenzie,Entwistle,RW,2022-23,23,CHI,NHL,66,4,6,10,-11,14,4,0,0,0,5,1,0,50,8.0,108,787,11:55,93,107,46.5,28,126,15,21,,"8, 11",19,"' placed on IR with wrist injury', ' placed on IR with wrist injury'"
122,Jake,DeBrusk,LW,2022-23,26,BOS,NHL,64,27,23,50,26,16,21,6,0,6,14,8,1,191,14.1,298,1074,16:47,4,11,26.7,22,85,28,18,,43,43,' placed on IR with fractured fibula in leg'
123,Trevor,Moore,LW,2022-23,27,LAK,NHL,59,10,19,29,-2,14,7,2,1,1,13,5,1,163,6.1,264,1002,16:59,14,25,35.9,23,60,27,20,,"36, 9",45,"' placed on IR with upper body injury', ' placed on IR with upper body injury'"
124,Brett,Ritchie,RW,2022-23,29,TOT,NHL,50,8,5,13,0,25,8,0,0,0,4,1,0,68,11.8,111,503,10:03,2,2,50.0,9,77,10,18,,20,20,' placed on IR with wrist injury'
125,Shea,Theodore,D,2022-23,27,VEG,NHL,55,8,33,41,16,18,6,2,0,2,26,7,0,136,5.9,282,1179,21:26,0,0,,86,16,28,24,,20,20,' placed on IR with leg injury'
126,Brendan,Gallagher,RW,2022-23,30,MTL,NHL,37,8,6,14,-5,45,8,0,0,2,4,2,0,93,8.6,177,528,14:17,6,11,35.3,13,18,5,17,,72,72,' placed on IR with lower body injury'
127,Carson,Meyer,RW,2022-23,25,CBJ,NHL,14,0,1,1,-2,6,0,0,0,0,1,0,0,17,0.0,32,136,9:43,0,0,,6,26,3,0,,47,47,' placed on IR with strained oblique'
128,Patrick,Kane,RW,2022-23,34,TOT,NHL,73,21,36,57,-22,16,17,4,0,1,18,18,0,227,9.3,371,1410,19:19,1,1,50.0,19,13,31,61,,2,2,' placed on IR with lower body injury'
129,Eric,Robinson,LW,2022-23,27,CBJ,NHL,72,12,12,24,-21,6,12,0,0,1,10,0,2,98,12.2,189,1004,13:57,3,12,20.0,32,124,30,17,,2,2,' placed on IR with upper body injury'
130,David,Gustafsson,C,2022-23,22,WPG,NHL,46,0,6,6,2,6,0,0,0,0,5,0,1,45,0.0,72,464,10:06,103,106,49.3,18,25,14,9,,50,50,' placed on IR with upper body injury'
131,Denis,Malgin,C,2022-23,26,TOT,NHL,65,13,8,21,4,8,13,0,0,1,7,1,0,112,11.6,198,710,10:55,4,6,40.0,18,68,29,24,,12,12,' placed on IR with upper body injury'
132,Julien,Gauthier,RW,2022-23,25,TOT,NHL,57,9,5,14,-6,6,9,0,0,0,5,0,0,53,17.0,94,492,8:38,3,5,37.5,13,105,13,10,,7,7,' placed on IR with upper body injury'
133,Joel,Armia,RW,2022-23,29,MTL,NHL,43,7,7,14,-7,22,6,0,1,0,6,1,0,69,10.1,126,643,14:57,3,6,33.3,25,37,18,13,,26,26,' placed on IR with upper body injury'
134,Juraj,Slafkovsky,LW,2022-23,18,MTL,NHL,39,4,6,10,-13,33,3,1,0,0,5,1,0,42,9.5,92,476,12:13,5,5,50.0,24,53,12,13,,147,147,' placed on IR with lower body injury (out for season)'
135,Kris,Letang,D,2022-23,35,PIT,NHL,64,12,29,41,-13,30,5,6,1,3,14,15,0,161,7.5,374,1591,24:51,0,0,,108,162,47,84,Masterton-1,7,7,' placed on IR with lower body injury'
136,Nic,Dowd,C,2022-23,32,WSH,NHL,65,13,12,25,6,26,13,0,0,3,11,0,1,62,21.0,108,868,13:21,433,419,50.8,61,136,28,34,,34,34,' placed on IR with lower body injury'
137,William,Carrier,LW,2022-23,28,VEG,NHL,56,16,9,25,15,30,16,0,0,7,9,0,0,118,13.6,172,705,12:35,1,7,12.5,22,133,19,8,,8,8,' placed on IR with upper body injury'
138,Carl,Grundstrom,RW,2022-23,25,LAK,NHL,57,12,7,19,-4,16,11,1,0,2,7,0,0,90,13.3,169,613,10:45,4,5,44.4,17,144,14,15,,40,40,' placed on IR with lower body injury'
139,Eric,Staal,C,2022-23,38,FLA,NHL,72,14,15,29,-5,26,12,0,2,1,15,0,0,106,13.2,183,1025,14:14,343,400,46.2,45,27,33,31,Selke-21,7,7,' placed on IR with upper body injury'
140,Hudson,Fasching,RW,2022-23,27,NYI,NHL,49,10,9,19,10,10,10,0,0,1,8,1,0,61,16.4,109,612,12:29,2,8,20.0,22,45,16,12,,14,14,' placed on IR with lower body injury'
141,Kasperi,Kapanen,RW,2022-23,26,TOT,NHL,66,15,19,34,-8,18,11,3,1,5,16,3,0,116,12.9,175,903,13:41,30,49,38.0,20,99,17,20,,14,14,' placed on IR with lower body injury'
142,William,Lockwood,RW,2022-23,24,VAN,NHL,13,0,1,1,-7,0,0,0,0,0,1,0,0,12,0.0,20,134,10:17,0,0,,13,37,4,3,,26,26,' placed on IR with concussion protocols'
143,Gustav,Nyquist,RW,2022-23,33,TOT,NHL,51,11,16,27,-9,16,9,0,2,2,15,1,0,102,10.8,164,899,17:37,14,18,43.8,30,41,31,19,,71,71,' placed on IR with upper body injury'
144,Christopher,Tanev,D,2022-23,33,CGY,NHL,65,1,12,13,7,21,1,0,0,1,11,1,0,75,1.3,163,1308,20:07,0,0,,130,51,24,34,,11,11,' placed on IR with upper body injury'
145,Ilya,Mikheyev,F,2022-23,28,VAN,NHL,46,13,15,28,3,2,12,1,0,2,13,2,0,91,14.3,138,778,16:55,2,8,20.0,14,13,12,10,,136,136,' placed on IR with torn ACL in left knee (out for season)'
146,Auston,Matthews,C,2022-23,25,TOR,NHL,74,40,45,85,31,20,27,13,0,8,30,15,0,327,12.2,568,1501,20:17,550,499,52.4,92,78,68,55,"AS-7,Byng-19,Hart-16,Selke-14",17,17,' placed on IR with sprained knee'
147,Andre,Burakovsky,LW,2022-23,27,SEA,NHL,49,13,26,39,-9,14,9,4,0,3,16,10,0,105,12.4,206,811,16:33,0,6,0.0,15,17,31,17,,124,124,' placed on IR with lower body injury (out for season)'
148,Troy,Terry,C,2022-23,25,ANA,NHL,70,23,38,61,-8,22,18,5,0,3,31,7,0,188,12.2,352,1356,19:22,2,0,100.0,23,12,43,27,,13,13,' placed on IR with upper body injury'
149,Mark,Stone,RW,2022-23,30,VEG,NHL,43,17,21,38,11,10,12,3,2,1,15,6,0,113,15.0,190,833,19:23,0,3,0.0,23,31,47,22,Selke-18,65,65,' placed on IR with upper body injury'
150,Dylan,DeMelo,D,2022-23,29,WPG,NHL,75,6,21,27,10,50,5,0,1,1,19,0,2,93,6.5,194,1467,19:34,0,0,,102,120,20,46,,3,3,' placed on IR with lower body injury'
151,Cole,Caufield,RW,2022-23,22,MTL,NHL,46,26,10,36,-10,2,19,7,0,3,7,3,0,158,16.5,294,830,18:03,0,0,,12,18,19,23,,121,121,' placed on IR with surgery on right shoulder (out for season)'
152,Jake,Sanderson,D,2022-23,20,OTT,NHL,77,4,28,32,-6,12,2,2,0,0,13,15,0,132,3.0,279,1688,21:55,0,0,,147,43,33,52,"AR-1,AR-2,Byng-33,Calder-6",11,11,' placed on IR with upper body injury'
153,Zack,MacEwen,C,2022-23,26,TOT,NHL,56,4,6,10,-11,66,4,0,0,3,6,0,0,73,5.5,137,648,11:34,15,14,51.7,29,150,13,13,,17,17,' placed on IR with fractured jaw'
