,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
731,Matthew,Tkachuk,LW,2022-23,25,FLA,NHL,79,40,69,109,29,123,26,14,0,6,46,22,1,322,12.4,,1614,20:26,13,16,44.8,31,68,,,,,,
732,Devon,Toews,D,2022-23,28,COL,NHL,80,7,43,50,39,26,6,1,0,0,37,6,0,165,4.2,,2009,25:06,0,0,,138,93,,,,,,
733,Jonathan,Toews,C,2022-23,34,CHI,NHL,53,15,16,31,-31,43,6,9,0,1,13,3,0,87,17.2,,939,17:43,594,347,63.1,23,9,,,,,,
734,Tyler,Toffoli,C,2022-23,30,CGY,NHL,82,34,39,73,16,28,24,10,0,4,24,15,0,268,12.7,,1362,16:37,7,5,58.3,14,59,,,,,,
735,Eeli,Tolvanen,RW,2022-23,23,TOT,NHL,61,18,13,31,8,14,14,4,0,4,10,3,0,116,15.5,,886,14:31,3,9,25.0,51,91,,,,,,
736,Philip,Tomasino,C,2022-23,21,NSH,NHL,31,5,13,18,5,6,1,4,0,0,11,2,0,54,9.3,,483,15:36,10,8,55.6,16,28,,,,,,
737,Dominic,Toninato,C,2022-23,28,WPG,NHL,5,0,1,1,0,2,0,0,0,0,1,0,0,7,0.0,,40,7:56,9,9,50.0,2,6,,,,,,
738,Alexey,Toropchenko,RW,2022-23,23,STL,NHL,69,10,9,19,6,12,9,0,1,0,9,0,0,86,11.6,,833,12:05,2,6,25.0,46,122,,,,,,
739,Yakov,Trenin,C,2022-23,26,NSH,NHL,77,12,12,24,-7,47,10,0,2,2,10,2,0,140,8.6,,1166,15:09,14,22,38.9,30,167,,,,,,
740,Vincent,Trocheck,C,2022-23,29,NYR,NHL,82,22,42,64,3,58,13,9,0,3,34,8,0,225,9.8,,1584,19:19,721,565,56.1,44,182,,,,,,
741,Jacob,Trouba,D,2022-23,28,NYR,NHL,82,8,22,30,7,63,5,2,1,2,18,3,1,199,4.0,,1738,21:12,0,1,0.0,196,218,,,,,,
742,Tyler,Tucker,D,2022-23,22,STL,NHL,26,1,3,4,-9,31,1,0,0,0,3,0,0,21,4.8,,381,14:39,0,0,,26,50,,,,,,
743,Riley,Tufte,LW,2022-23,24,DAL,NHL,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,,24,7:57,0,0,,0,6,,,,,,
744,Alex,Turcotte,C,2022-23,21,LAK,NHL,4,0,0,0,-2,5,0,0,0,0,0,0,0,2,0.0,,28,6:59,6,8,42.9,0,1,,,,,,
745,Juuso,Välimäki,D,2022-23,24,ARI,NHL,78,4,30,34,-10,59,3,1,0,1,19,11,0,93,4.3,,1418,18:11,0,0,,98,53,,,,,,
746,James,van,LW,2022-23,33,PHI,NHL,61,12,17,29,-3,28,10,2,0,1,15,2,0,119,10.1,,937,15:21,7,7,50.0,20,18,,,,,,
747,Trevor,van,D,2022-23,31,WSH,NHL,75,7,16,23,10,15,7,0,0,0,15,1,0,97,7.2,,1430,19:04,0,0,,160,21,,,,,,
748,Frank,Vatrano,LW,2022-23,28,ANA,NHL,81,22,19,41,-29,66,17,5,0,1,15,4,0,231,9.5,,1351,16:41,7,10,41.2,75,86,,,,,,
749,Joe,Veleno,C,2022-23,23,DET,NHL,81,9,11,20,-12,30,8,1,0,1,8,3,0,85,10.6,,1035,12:47,277,374,42.5,44,152,,,,,,
750,Carter,Verhaeghe,C,2022-23,27,FLA,NHL,81,42,31,73,10,46,35,7,0,2,25,6,0,275,15.3,,1418,17:30,20,21,48.8,31,29,,,,,,
751,Jimmy,Vesey,LW,2022-23,29,NYR,NHL,81,11,14,25,13,20,10,0,1,4,14,0,0,123,8.9,,1102,13:37,4,14,22.2,40,98,,,,,,
752,Jeffrey,Viel,F,2022-23,26,SJS,NHL,4,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,,37,9:10,0,0,,2,6,,,,,,
753,Gabriel,Vilardi,C,2022-23,23,LAK,NHL,63,23,18,41,10,18,18,5,0,6,14,4,0,122,18.9,,983,15:36,52,61,46.0,33,41,,,,,,
754,Alex,Vlasic,D,2022-23,21,CHI,NHL,6,0,1,1,-1,0,0,0,0,0,1,0,0,4,0.0,,118,19:38,0,0,,9,5,,,,,,
755,Marc-Édouard,Vlasic,D,2022-23,35,SJS,NHL,78,1,17,18,-14,16,1,0,0,0,17,0,0,67,1.5,,1363,17:28,0,0,,116,45,,,,,,
