,Player First Name,Player Last Name,Position,Season,Age,Team,League,Games Played,Goals,Assists,Points,+/-,Penalties in Minutes,Even Strength Goals,Power Play Goals,Short Handed Goals,Game-Winning Goals,Even Strength Assists,Power Play Assists,Short-Handed Assists,Shots On Goals,Shooting Percentage,Total Shoot Assists,Time on Minutes,Average Time on Ice,Faceoff Wins,Faceoff Losses,Faceoff Percentage,Blocks,Hits,Takeaways,Giveaways,Awards,Injury Time,Total Time Out This Year,Injury Description
341,Matt,Grzelcyk,D,2021-22,28,BOS,NHL,73,4,20,24,22,24,4,0,0,2,15,5,0,118,3.4,,1367,18:44,0,0,,83,40,,,,0,0,
342,Radko,Gudas,D,2021-22,31,FLA,NHL,77,3,13,16,27,105,2,0,1,0,13,0,0,100,3.0,,1387,18:01,0,0,,118,355,,,,0,0,
343,Erik,Gudbranson,D,2021-22,30,CGY,NHL,78,6,11,17,15,68,6,0,0,0,11,0,0,129,4.7,,1415,18:08,0,0,,92,145,,,,0,0,
344,Jake,Guentzel,C,2021-22,27,PIT,NHL,76,40,44,84,13,44,33,7,0,7,29,15,0,264,15.2,,1527,20:06,13,12,52.0,38,72,,,,0,0,
345,Brendan,Guhle,D,2021-22,24,ANA,NHL,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0,,88,14:40,0,0,,4,11,,,,0,0,
346,Denis,Gurianov,RW,2021-22,24,DAL,NHL,73,11,20,31,2,16,7,4,0,2,17,3,0,144,7.6,,1036,14:11,0,0,,32,67,,,,0,0,
347,David,Gustafsson,C,2021-22,21,WPG,NHL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,2:28,0,4,0.0,0,0,,,,0,0,
348,Erik,Gustafsson,D,2021-22,29,CHI,NHL,59,3,15,18,-4,14,3,0,0,0,11,4,0,79,3.8,,957,16:13,0,0,,55,45,,,,0,0,
349,Brandon,Hagel,LW,2021-22,23,TOT,NHL,77,25,19,44,-18,31,20,4,1,3,15,2,2,125,20.0,,1259,16:21,24,33,42.1,32,63,,,,0,0,
350,Carl,Hagelin,LW,2021-22,33,WSH,NHL,53,3,11,14,10,20,3,0,0,1,10,0,1,71,4.2,,755,14:14,4,10,28.6,12,32,,,,0,0,
351,Robert,Hägg,D,2021-22,26,TOT,NHL,64,1,8,9,-9,35,1,0,0,0,8,0,0,59,1.7,,1025,16:01,0,0,,102,138,,,,0,0,
352,Nicolas,Hague,D,2021-22,23,VEG,NHL,52,4,10,14,6,38,4,0,0,0,10,0,0,116,3.4,,970,18:40,0,0,,80,57,,,,0,0,
353,Libor,Hájek,D,2021-22,23,NYR,NHL,17,0,1,1,-10,8,0,0,0,0,1,0,0,12,0.0,,223,13:08,0,0,,26,7,,,,0,0,
354,Jani,Hakanpää,D,2021-22,29,DAL,NHL,80,4,8,12,1,43,4,0,0,0,7,0,1,68,5.9,,1297,16:13,0,0,,112,248,,,,0,0,
355,Jayden,Halbgewachs,F,2021-22,24,SJS,NHL,3,0,1,1,1,4,0,0,0,0,1,0,0,7,0.0,,39,13:06,0,0,,0,3,,,,0,0,
356,Taylor,Hall,LW,2021-22,30,BOS,NHL,81,20,41,61,11,42,13,7,0,3,33,8,0,217,9.2,,1329,16:25,18,21,46.2,36,55,,,,0,0,
357,Filip,Hallander,C,2021-22,21,PIT,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6,5:52,0,0,,0,0,,,,0,0,
358,Dougie,Hamilton,D,2021-22,28,NJD,NHL,62,9,21,30,-19,34,7,2,0,1,15,6,0,197,4.6,,1316,21:13,0,0,,92,87,,,,0,0,
359,Noah,Hanifin,D,2021-22,25,CGY,NHL,81,10,38,48,27,19,9,1,0,1,25,12,1,189,5.3,,1726,21:18,0,0,,84,63,,,,0,0,
360,Joel,Hanley,D,2021-22,30,DAL,NHL,44,2,4,6,-13,4,2,0,0,0,4,0,0,18,11.1,,525,11:56,0,0,,43,60,,,,0,0,
361,Mike,Hardman,RW,2021-22,22,CHI,NHL,21,0,2,2,-6,11,0,0,0,0,2,0,0,12,0.0,,195,9:18,1,1,50.0,12,60,,,,0,0,
362,Jansen,Harkins,C,2021-22,24,WPG,NHL,77,7,6,13,-8,15,7,0,0,0,6,0,0,67,10.4,,730,9:29,28,16,63.6,18,51,,,,0,0,
363,Thomas,Harley,D,2021-22,20,DAL,NHL,34,1,3,4,-4,6,1,0,0,0,3,0,0,36,2.8,,465,13:41,0,0,,30,30,,,,0,0,
364,Ben,Harpur,D,2021-22,27,NSH,NHL,19,0,1,1,-10,27,0,0,0,0,1,0,0,13,0.0,,261,13:44,0,0,,21,36,,,,0,0,
365,Scott,Harrington,D,2021-22,28,CBJ,NHL,7,0,1,1,-4,6,0,0,0,0,1,0,0,5,0.0,,101,14:28,0,0,,9,8,,,,0,0,
366,Jordan,Harris,D,2021-22,21,MTL,NHL,10,1,0,1,3,8,1,0,0,0,0,0,0,9,11.1,,163,16:17,0,0,,11,10,,,,0,0,
367,Ryan,Hartman,RW,2021-22,27,MIN,NHL,82,34,31,65,31,95,33,1,0,7,24,7,0,239,14.2,,1491,18:11,513,631,44.8,48,72,,,,0,0,
368,Rafaël,Harvey-Pinard,LW,2021-22,23,MTL,NHL,4,1,0,1,-2,0,1,0,0,0,0,0,0,6,16.7,,52,13:05,0,1,0.0,3,12,,,,0,0,
369,Santeri,Hatakka,D,2021-22,21,SJS,NHL,9,0,2,2,-5,2,0,0,0,0,2,0,0,3,0.0,,114,12:38,0,0,,7,5,,,,0,0,
370,Garnet,Hathaway,RW,2021-22,30,WSH,NHL,76,14,12,26,19,57,14,0,0,4,11,0,1,124,11.3,,1018,13:23,10,18,35.7,62,250,,,,0,0,
371,Erik,Haula,LW,2021-22,30,BOS,NHL,78,18,26,44,19,47,16,2,0,3,24,2,0,141,12.8,,1177,15:06,434,372,53.8,36,129,,,,0,0,
372,John,Hayden,C,2021-22,26,BUF,NHL,55,2,2,4,-12,84,2,0,0,0,2,0,0,65,3.1,,597,10:51,2,7,22.2,24,104,,,,0,0,
373,Kevin,Hayes,RW,2021-22,29,PHI,NHL,48,10,21,31,-20,26,8,2,0,1,18,2,1,126,7.9,,860,17:55,260,347,42.8,12,36,,,,0,0,
374,Zack,Hayes,D,2021-22,22,VEG,NHL,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,,33,10:53,0,0,,1,12,,,,0,0,
375,Barrett,Hayton,C,2021-22,21,ARI,NHL,60,10,14,24,-8,20,8,2,0,1,11,3,0,82,12.2,,967,16:07,415,447,48.1,33,84,,,,0,0,
376,Dillon,Heatherington,D,2021-22,26,OTT,NHL,9,0,0,0,-1,7,0,0,0,0,0,0,0,4,0.0,,111,12:20,0,0,,2,18,,,,0,0,
377,Victor,Hedman,D,2021-22,31,TBL,NHL,82,20,65,85,26,36,14,6,0,6,33,32,0,219,9.1,,2056,25:05,0,0,,129,93,,,,0,0,
378,Danton,Heinen,C,2021-22,26,PIT,NHL,76,18,15,33,6,16,15,3,0,1,14,1,0,138,13.0,,966,12:43,0,4,0.0,33,66,,,,0,0,
379,Ville,Heinola,D,2021-22,20,WPG,NHL,12,0,5,5,-2,10,0,0,0,0,5,0,0,25,0.0,,179,14:54,0,0,,7,9,,,,0,0,
380,Miro,Heiskanen,D,2021-22,22,DAL,NHL,70,5,31,36,3,24,2,3,0,1,23,8,0,156,3.2,,1742,24:53,0,0,,92,52,,,,0,0,
381,Darren,Helm,C,2021-22,35,COL,NHL,68,7,8,15,-5,14,6,0,1,1,7,0,1,93,7.5,,717,10:33,103,130,44.2,27,114,,,,0,0,
382,Adam,Henrique,C,2021-22,31,ANA,NHL,58,19,23,42,-2,14,13,6,0,0,18,5,0,141,13.5,,1010,17:25,276,221,55.5,47,22,,,,0,0,
383,Aleksi,Heponiemi,C,2021-22,23,FLA,NHL,6,0,1,1,-6,2,0,0,0,0,0,1,0,7,0.0,,84,14:02,2,4,33.3,1,0,,,,0,0,
384,Tomáš,Hertl,C,2021-22,28,SJS,NHL,82,30,34,64,-9,30,24,6,0,6,23,10,1,205,14.6,,1635,19:56,769,697,52.5,57,105,,,,0,0,
385,Thomas,Hickey,D,2021-22,32,NYI,NHL,2,0,0,0,-3,0,0,0,0,0,0,0,0,0,,,39,19:29,0,0,,3,2,,,,0,0,
386,Matthew,Highmore,LW,2021-22,25,VAN,NHL,46,5,7,12,1,14,4,1,0,0,7,0,0,61,8.2,,584,12:42,3,5,37.5,38,41,,,,0,0,
387,Cameron,Hillis,C,2021-22,21,MTL,NHL,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,,10,10:15,2,2,50.0,0,0,,,,0,0,
388,Vinnie,Hinostroza,C,2021-22,27,BUF,NHL,62,13,12,25,-11,24,12,1,0,2,12,0,0,92,14.1,,860,13:52,12,16,42.9,13,25,,,,0,0,
389,Roope,Hintz,LW,2021-22,25,DAL,NHL,80,37,35,72,15,28,25,9,3,7,19,15,1,213,17.4,,1443,18:02,357,317,53.0,53,82,,,,0,0,
390,Taro,Hirose,LW,2021-22,25,DET,NHL,15,1,3,4,-5,4,0,1,0,0,2,1,0,10,10.0,,160,10:40,1,1,50.0,2,9,,,,0,0,
391,Nico,Hischier,C,2021-22,23,NJD,NHL,70,21,39,60,-1,17,17,4,0,2,29,8,2,153,13.7,,1354,19:21,730,672,52.1,48,50,,,,0,0,
392,Hayden,Hodgson,RW,2021-22,25,PHI,NHL,6,1,2,3,-1,11,1,0,0,0,2,0,0,10,10.0,,79,13:12,1,1,50.0,2,12,,,,0,0,
393,Mike,Hoffman,C,2021-22,32,MTL,NHL,67,15,20,35,-24,32,11,4,0,3,11,9,0,154,9.7,,1142,17:03,12,8,60.0,29,27,,,,0,0,
394,Gregory,Hofmann,C,2021-22,29,CBJ,NHL,24,2,5,7,6,8,2,0,0,2,5,0,0,33,6.1,,300,12:30,0,8,0.0,10,23,,,,0,0,
395,Linus,Högberg,D,2021-22,23,PHI,NHL,5,0,2,2,0,2,0,0,0,0,2,0,0,3,0.0,,85,17:04,0,0,,8,0,,,,0,0,
396,Nils,Höglander,LW,2021-22,21,VAN,NHL,60,10,8,18,-6,24,9,1,0,0,6,2,0,132,7.6,,785,13:05,0,1,0.0,16,41,,,,0,0,
397,Nick,Holden,D,2021-22,34,OTT,NHL,76,5,14,19,0,12,5,0,0,1,14,0,0,75,6.7,,1509,19:51,0,1,0.0,112,115,,,,0,0,
398,Justin,Holl,D,2021-22,30,TOR,NHL,69,3,20,23,14,41,2,0,1,1,18,0,2,64,4.7,,1394,20:12,0,0,,104,129,,,,0,0,
399,Alexander,Holtz,RW,2021-22,20,NJD,NHL,9,0,2,2,-5,2,0,0,0,0,1,1,0,12,0.0,,110,12:16,0,0,,2,5,,,,0,0,
400,Patric,Hörnqvist,RW,2021-22,35,FLA,NHL,65,11,17,28,-5,19,8,3,0,0,13,4,0,165,6.7,,824,12:40,8,13,38.1,23,112,,,,0,0,
401,Bo,Horvat,C,2021-22,26,VAN,NHL,70,31,21,52,3,40,17,13,1,4,15,6,0,194,16.0,,1366,19:31,841,634,57.0,45,96,,,,0,0,
